seed,ans,le,mas,egs,alpha,imaginal-activation,motivation,init_cost,update_cost,valid_cue_percentage,n_trials,session
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,1,40,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,1,40,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,1,40,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,1,40,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,1,40,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,1,40,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,1,40,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,1,40,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,1,40,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,1,40,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
nil,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
